title,description
Database Design & Management ,"Database Design & Management  This is an introductory course for database management systems and applications. It discusses concepts, methodologies, and techniques important for database analysis, design, implementation, and management. The course focuses on the logical, conceptual and physical implementation of relational database management systems so that students can assimilate a basic knowledge of database design as it relates to business rules.  Upon completion of this course, students will understand the relational database model; explain the considerations and choices available for achieving data integrity; the role of normalization in providing efficiencies and data integrity; the tools and techniques for transforming business requirements into viable, efficient, and reliable databases aligned with business requirements. The course utilizes a combination of lectures, hands-on computer exercises, examples from Oracle and other leading databases, and real-world database projects to accomplish the learning process. Topics include: data structure concepts; the application of data models and data normalization; data integrity, referential integrity, input and output design considerations; SQL database data definition and data manipulation languages; data administration; client/server, Internet and distributed database systems."
Database Technologies for Web Applications ,"Database Technologies for Web Applications  This course examines the database and related applications technologies that have come to be critical in the enablement of web-based applications for e-commerce in its many variations. This lab-based course provides an in-depth study of using database technologies in the context of the Internet, including Oracle, and open source variations such as MySQL; the role of related scripting languages such as PHP. Also covered are the theory and practice involved in dynamic, database driven web-sites that are controlled using CSS and other web-enabling artifacts. Upon completion of this course, the student will understand the features of page scripting languages; understand the database options available for the web-based applications; explain how these can be combined with each other and with additional web-based tools to create effective web-based applications."
Enterprise Application Integration ,"Enterprise Application Integration  This course addresses some of the major technology issues facing enterprises today, namely how to manage the integration of disparate data and applications that are resident on diverse platforms, owned by different business units, and residing in widely separated locations. Topics covered include: the elements of information management, providing applications and business process access to structured and unstructured data; structured and unstructured data integration tools, extract-transform-load, replication, data federation; operational and dimensional data; well-managed information; levels of service; metrics and controls; service oriented architecture; propagating data and executing business processes across the enterprise network. Upon completion of this course, students will understand the concepts of enterprise information management; describe the strategies, tools and techniques to accomplish EIM; explain the concepts of enterprise application integration and how service oriented architectures can be applied to accomplishing EAI goals."
Enterprise Ethics & Sustainability ,"Enterprise Ethics & Sustainability  This course will provide an overview of the broad range of Ethical Risks inherent with the explosive growth of the global economy. The core focus of the class is in defining, discussing, and addressing the unique regulatory, cultural, and personal ethical dilemmas confronted by managers in the world economy of the twenty first century.   Many nuances and realities of formal (regulatory), global (cultural), and personal ethical risks will be presented for discussion and debate.  Case study examples will be addressed, including but not limited to, Lockheed, MCI, the Cuban Embargo, the South African and Israeli trade embargoes, and the Iraq oil for food embargoes. Postulation of example risks will be offered as stimulation for the student?s individual development of avoidance and/or resolution methodologies.  Formal and informal student classroom interaction will be crucial to stimulating the sharing of actual day to day business related ethical dilemmas. Classroom discussions will provide the baselines for identifying potential ethical conflicts that can be faced by managers as they manage cross-border, cross cultural and multi-ethnic organizations.   Development of possible resolutions will be proposed, dissected, evaluated and debated, within the parameters of both experienced and theoretical, ethically conflicting business situations.  Upon successful completion of this course, students will have gained a broad understanding of the existence of Ethical Risks, (regulatory, global and personal), in business, the skills with which to evaluate the impact of conflicting ethics on the geopolitical landscape, and a solid foundation for recognizing the need for both personal awareness of, and adjustment to, ethical risks in a global economy."
Enterprise Risk: Assessment & Mitigation ,"Enterprise Risk: Assessment & Mitigation  This course provides the student with an understanding of the importance of being able to recognize business risks and skills needed to manage them. Specific topics include the high level game plan to identify and mitigate risks, policy and guidelines, roles and responsibilities, ownership and accountability, technology risks, monitoring, reporting and resolution. Focus will be on technology risk and controls within the context of the COSO Internal Control Integrated framework and the COSO Enterprise Risk Management framework.  Upon successful completion of the course, the student will be expected to be able to conduct a risk assessment from the objective setting process through the event identification process to the actual risk, understand the different types of risks that challenge businesses today, relate to steps taken by organizations to balance risks and rewards, gain an understanding of types of controls that can be used to mitigate these risks,  be cognizant of current thinking on best practices in enterprise risk management, learn when it may be appropriate to accept risk and how to manage that acceptance, realize the importance of awareness, monitoring and reporting, and produce high level reports of business risk."
Financial Management ,"Financial Management  This course covers current financial and managerial accounting methods and their function within the information system of decision making. Topics include accounting theory and concepts; financial statement analysis; and analysis for evaluation and decision-making. Attention will also be paid to capital investment analysis, financial models, and the legal ramifications of technological advances in the finance industry (Internet trading, digital signatures, etc.)."
Financial Services & Trading Institutions ,"Financial Services & Trading Institutions  Given the events of the last several years, risk management has been moved from the back rooms to the forefront of the business world.  Every year companies are spending more to understand and better manage their risk.  This course will look at risk management from both the sell-side investment bank perspective as well as the buy-side hedge fund asset manager view.  It is intended to provide an introduction into what risk management means in each of these types of institution.  At the end of the course, students will be expected to have learned the fundamental financial tools and techniques necessary to be an effective risk manager.  Topics include (but are not limited to) accounting/finance theories and concepts; time value of money, financial product knowledge, risk management terms and techniques, and operational risk management. Students will learn fundamental financial concepts through real world group assignments, problem solving and term projects.  The student who successfully completes this course will have the ability to understand: the fundamental concepts of financial products including both cash products and their respective derivatives, the methodologies for pricing and valuation, the fundamental risk management strategies at both a micro and macro level, the fundamental risk measurement (P&L attribution, Value at Risk (VaR), and the operational risk issues that effect financial and trading institutions."
Information Security Management ,"Information Security Management  This course provides the student with an opportunity to understand the importance of data and information in today's digital world and the steps required to properly protect it. Specific topics include strategy and policy, awareness, data classification, ownership and accountability, monitoring and reporting. Focus will be on network components that comprise the environment, where the data is input, processed, stored and travels through the Intranet, Extranet, and/or Internet. Upon completion of the course, the student will be expected to be able to understand the value of data in today's digital world, relate to steps taken by Government, Corporations and the Private Sector to protect this valuable asset, gain an understanding of components that comprise the network and how each provide protection, become familiar with preventative and detective tools, i.e. ACL, virus protection, cryptography, intrusion detection, audit logs, perl scripts, logical and physical controls, etc., and realize the importance of awareness, risk assessment and acceptance."
Information Technology & Data Analytics ,"Information Technology & Data Analytics  The organization is examined as a system, and the roles of information and computers are explored to facilitate the specification, development, implementation and maintenance of information technology for supporting organization decision-making and strategic planning in today's information age. Topics include: the role of information within organizations; overview of modern hardware and software platforms; systems development architectures; planning, developing and managing IT systems; introduction to databases and data warehouses; decision support and artificial intelligence; owner and user roles in systems development life cycles; technology impacts on corporate competitiveness, structure and control; networks and client/server issues. In response to today?s societal concerns, the course addresses protecting people and information as well as computer crime and forensics. Substantial use of real-world projects, case studies and hands-on assignments are employed.  Upon completion of the course students are expected to have gained an appreciation of the important contribution information technology makes to the success of organizations and how it helps the Chief Information Officer (CIO) and the firm achieve a competitive advantage. More specifically, they will have learned: the strategic role of IT in organizations, typical contributions IT makes to the organization, major issues in IT management, and recent advances and current trends in IT."
Innovation & Entrepreneurship,"Innovation & Entrepreneurship Course description: Every business starts with an idea. Often the development of the idea brings improvement or change to existing processes or products. Sometimes the result is so radically different it creates something new that did not exist.  Innovation has been at the heart of human development from the very beginning when fire was harnessed and the wheel was conceived. Innovative thinking has helped people evolve from self-reliant survivors to participants in the global community.  An entrepreneur plans a new business based on an idea, manages it, and assumes the risks of growing it, with the intention of earning a profit.  The entrepreneur needs to plan for every business function including, but not limited to: planning processes, staffing, raising funds, marketing, and assuring good financial practices and reporting. This course teaches students how to develop a structured business plan using entrepreneurial best-practices to integrate their innovative concept and capitalize on their opportunity."
Knowledge Management ,"Knowledge Management  Knowledge is about relationships and dialog, not just access to information. The course aims to provide the student with the opportunity to explore current issues affecting the manager of knowledge workers in the information age. It involves a topical review of the theory and practice of KM in relation to the current social, organizational, and industrial environments. Topics will focus on current key issues in KM with the examination of various areas including: Communities of Practice, Advanced Taxonomies, Social/Knowledge Network Analysis, Balanced Scorecard, and Knowledge and Power in the context of the nature and origins of organizational knowledge, organizational learning, organizational memory, organizational capabilities and competences and knowledge work. Taking a learning-centric rather than information-centric approach, this course emphasizes the continuous acquisition and application of knowledge, and aims to build students' understanding of the impact of issues in resolving problems and taking advantage of opportunities relating to the exploration of organizational knowledge assets. There will be an emphasis in the course on collaboration rather than competition generating an experiential study of knowledge management in which the class will create knowledge in the form of papers on knowledge management, develop an evaluation system, evaluate the knowledge created, publish the information to a website, and evaluate their knowledge management. The aim is to create a community of practice and to maximize the experience of cooperation, knowledge creation, and trust in the learning environment, and to see how much can be achieved in a very intense, short amount of time because of this collaborative experience. The instructor will act as a facilitator of the creative experience rather than trying to push a personal learning agenda.   Upon successful completion of the course the student will have learned: how to define KM, learning organizations, intellectual capital and related terminologies in clear terms and understand the role of knowledge management in organizations; the best practices in corporate information search & taxonomy issues; the possibilities and limitations of collaborative software tools to support Communities of Practice; how to integrate knowledge into the enterprise; how to measure the effectiveness of KM initiatives; how to make tacit knowledge transfers easier and more effective (mentoring, capturing essential knowledge prior to retirement)."
Leadership ,"Leadership  Today's managers must act as leaders who build collaborative enterprises to enable organizations to respond quickly and efficiently to new market opportunities, new competitors, acquisitions, shifting market demographics, new technology and government regulations. Effective leaders must understand modern leadership and management strategies, capabilities and techniques and how to select the leadership style that is most effective for the organization's business objectives.  Course topics will include the following:  exploring the various theories of leadership and team development; identifying an effective leadership style to match an organization's culture; separating leadership skills from management skills; optimizing leadership effectiveness; utilizing leadership capabilities to achieve mission critical enterprise objectives; building individual leadership capabilities; developing the leadership pipeline and institutionalizing leadership into the organization?s succession plan.  In this course, lectures, discussions, case studies, and student projects are used to explore effective leadership and team relationships.  Upon successful conclusion of the course, the student will have completed a leadership development plan for their respective organizations and will project the financial impact of such plan on both the organization's income statement and balance sheet."
Management of Telecommunications ,"Management of Telecommunications  With the introduction of a National Standard for crisis management and emergency preparedness, and incentives to promote its adoption, organizations will immediately require training and other resources to develop new emergency programs where there are none, to evaluate and revise existing programs, and to maintain programs on an ongoing basis. This course focuses on the business decisions and management processes necessary to anticipate, plan for, manage, communicate about, and recover from crises affecting corporations and other complex organizations.  It will also cover the key component steps for the development of a corporate Business Continuity Plan as a vital part of the day to day operations of enterprises.   Additionally, it will examine the way companies in distress and the constituencies who matter to those companies predictably behave when things go wrong.  Underlying the tangible structural components of the course, there will be a continued emphasis on the fact that crisis management is an ongoing process, rather than a one time review of the individual corporations? operational requirements. Topics covered will include: The Crisis Environment Awareness and Training; Exercising & Maintaining Programs; Implementation Strategies & Issues; Emergency Preparedness & Response; Hazard Mitigation; Crisis Communications; Direction, Control & Coordination; Operations & Procedures; Logistics & Facilities; Recovery and continuity planning; Psychology paradigms in pre, during and post-crisis phases; Crisis Leadership; Integration of Multiple Disciplines, Functions and Organizational Constituencies; Performance Assessment; Current & Evolving Strategies and Insights in Crisis Management.  Through a combination of lectures, discussions, case studies, role-play, and a final project that consists of a crisis management plan to protect a company undergoing a crisis, students will be able to identify and implement the various plan development methodologies available today and be ready to develop and manage systems to establish protocols, processes, and structures to prevent damage and business interruption, and to restore operations in the event of a natural disaster.  Upon successful completion of the course, students will have learned how to recognize and appreciate the dynamics of crisis management including the processes involved in identifying areas of highest business interruption risk, the methodologies for calculating minimum recovery times for both systems and basic operations how to identify and address the key components necessary for the development and implementation of a viable crisis management program including a Business Continuity plan. They will have familiarity with the existence of numerous plan development software tools and they will have reviewed examples of existing plans."
Managing Complex Change Initiatives ,"Managing Complex Change Initiatives  Change is everywhere, constant and increasing in frequency, magnitude and complexity.  Leaders, managers, and workplace professionals are expected to manage change on three levels: individually, in teamwork, and organizationally. Complacency is considered a barrier to progress and resiliency is becoming a core competency.  Workplace professionals are expected to be collaboratively responsive in an expeditious manner. The focus of this course will be to manage change, and recognize how individuals, teams, and organizations so do.  Presentations, interactive dialogues, assigned readings, video, case studies, and student projects will be used to explore structural, process, technological, and human change dynamics.  Students will look at examples of small to large companies that have implemented change strategy and actions ? some successfully, others not. This is a highly interactive course that moves from awareness, knowledge acquisition and progress, to synthesis and application of behavioral practices. Topics include (but are not limited to) dimensions of change, organizational development/change models and theories, success factors, readiness and assessment tools for self, individual, and organizational audit, culture, actions and behaviors that model best practices, using metrics to benchmark progress, complacency conflicts, competencies, successfully leveraging change and developing initiatives to foster positive attitudes among workplace professionals toward change management.  Best practices theories such as Kotter?s 8 Step Model, Bridges Three Zones for Transition and Renewal, Abrahamson?s Creative Recombination approach, and Conner?s Resiliency Reflections will all be included. Alternative theories and practices will also be introduced.  Upon successful completion of the course, the student will be expected to have mastered the essentials of, and perspectives on, defining change, transitional change, transformational change, and various aspects of building proactive and positive teams and coalitions for sponsorship (as well as such teams? impact on complex change activities and other organizational activities)."
Managing in a Global Economy ,"Managing in a Global Economy  The internationalization or globalization of the U.S. economy has occurred in the private and public sectors, in input and output markets, and in business firms and households. This course examines three facets of a modern economy; markets, government, and international trade, and explores the connections among them. Modern economies, markets and governments are not contained within national boundaries but spill over from one nation to another. Specialization and markets arise on a global scale, leading to international trade in goods and services. One of the roles of government is to develop policies to deal with trade between countries. Upon completion, the student will understand how a market-based economy operates in today's global environment."
Object-Oriented Systems Design ,"Object-Oriented Systems Design  This course addresses the concepts, skills, methodologies, techniques, tools and perspectives essential for system analysts and designers to successfully develop information systems in the object-oriented context.  The course presents the concepts of the object-oriented approach, and describes a systems development lifecycle framework that is applicable to the analysis and design of object-oriented application systems. An in-depth treatment of analysis and design are covered, followed by systems implementation and operation. Upon completion of this course, students are expected to be capable of analyzing IT system structures, modeling information processes, and designing / redesigning IT systems using object-oriented tools. The course utilizes a combination of lectures, hands-on computer lab exercises, group activities, and real-world projects to accomplish the learning process. Topics include: The object-oriented systems development environment; managing the object-oriented IT project; determining and structuring user requirements through use cases, conceptual data modeling,  and object relational modeling; design strategies; and physical design."
Operational & Financial Risk Analysis ,"Operational & Financial Risk Analysis  In today?s ever-changing and risk-oriented work, insurance plays a very vital role in protecting against unforeseen problems.  To most people, insurance is a matter of writing a check once a month and hopefully never having to file a claim.  But the inner workings of the insurance industry are quite complex given our current economic environment.  Gone are the days of simply investing in bonds and matching durations.  Today?s environment requires a far more complex Asset Liability Management ('ALM') structure to help quantify and manage risk.  This course is is intended to provide an introduction into what risk management means in the insurance industry.  At the end of the course, students will be expected to have learned the fundamental financial tools and techniques necessary to be an effective risk manager in the insurance industry.  Topics include (but are not limited to) accounting/finance theories and concepts; time value of money, financial product knowledge, risk management terms and techniques, operational risk management, ALM, and actuarial sciences. Students will learn fundamental financial concepts through real world group assignments, problem solving and term projects. The student who successfully completes this course will have the ability to: understand the fundamental concepts of financial products including both cash products and their respective derivatives, asset liability management, and actuarial sciences as well as fully understand the operational, legal and regulatory issues that affect the insurance industry."
Project Management in The Information Age ,"Project Management in The Information Age  This course is taught in two semester sessions.  This first session explores the methodologies, technologies, and techniques for managing projects in an information technology environment. In addition to case studies and project management tools, students participate in a simulation that runs concurrently throughout the course. Upon completion, students will be able to define a business problem, plan the delivery of a solution for that problem and manage the quality completion of those deliverables."
Quantitative Models for Decision-Makers ,"Quantitative Models for Decision-Makers  In today's business environment, corporate executives and leading professionals must continuously analyze strategic business situations and at times feel limited in their ability to choose appropriate courses of action. In these situations, the executive is expected to utilize sound critical decision making in order to initiate action and move the organization to creative problem solving. This course provides the student with the tools and techniques required to manage processes efficiently and make decisions effectively."
Research Process & Methodology ,"Research Process & Methodology  This course affords students the opportunity to thoroughly explore a specific business topic as it relates to their area of study and/or professional field.  Research is a complex undertaking with formal processes, methodologies and design.  A successful manager needs not only to be able to research opportunities and/or problems as they present themselves, but also evaluate research produced by others.  To do so, s/he must be fully cognizant of acceptable research techniques, data collection, research design, internal and external validity and statistical methods for hypothesis testing. This course equips the student with the required research skills that are necessary to successfully conceptualize a research topic with original ideas and subsequently develop a proposal for researching that topic. Upon completion of the course, students are expected to have learned: how to conduct a literature survey, the hallmarks of scientific research, the hypothetico-deductive method, how to develop a theoretical framework, data collection methods, analysis and interpretation, and how to evaluate a research report.  Students will also be introduced to methods for correctly citing references and quoting other works without plagiarizing, infringing upon copyright or violating the rules governing proprietary information. Upon successful completion of this course, students will have completed a research proposal containing all the required, formal elements."
Research Project: Thesis,"Research Project: Thesis Upon approval of a proposal the student works with a qualified faculty member to research and write up a thesis on a topic in his/her selected concentration area. The finished thesis must demonstrate the student's ability to conduct comprehensive research and articulate original ideas and thought processes that make a practical contribution to the existing body of knowledge in the fields of management and systems. All final papers must be of an academic and research standard that is consistent with the requirements of current journals and publications. In order to successfully complete the project, the student's supervisor, one other reader from either academe or industry, and the department must approve the thesis."
Special Topics: Managing Big Data,"Special Topics: Managing Big Data This special topics course will address the challenges and opportunities related to Big Data. What exactly is “big data” and where does it come from? How is big data gathered, stored, searched, shared, analyzed, and visualized? How can organizations create value from Big Data? By the end of this course, each student will be able to: Propose a management approach to introduce Big Data environments to an organization from a business perspective.  Prepare briefings to show management on how actionable insights and business value from massive amounts of seemingly unrelated data sets can be a competitive tool for businesses Appraise the components of a Big Data environment: Data Management, Data Visualization, Analytics Compare and contrast the types of Analytics: Descriptive, Diagnostic, Predictive, Prescriptive Demonstrate proper support for Big Data at all levels in organizations including Business Users, CIO, CTO, CDO (chief data officer), DBAs, and Developers."
Special Topics: Business Analytics,"Special Topics: Business Analytics This course prepares students to turn business data into actionable information using data analytics tools and techniques including data visualization. We will go beyond descriptive analytics to include regression, decision trees, clustering and other analytic models, with skills-building labs based the SAS JMP program, and Microsoft Excel. Students will learn software systems for data integration/transformation, analysis and visualization. They will also learn how to use technology in the context of their applications to sales, marketing, and finance, operations, product development.  Students will learn through a hands-on approach. Guided by the instructor and using software and assigned readings/videos, they will prepare and analyze real-world data sets to learn how to develop strategic recommendations for managerial actions. Students who successfully complete the course requirements will be able to manage data, inclusive of data access, data cleansing, and data preparation. They will also be able to apply techniques for converting data to information, including data exploration, summarization, visualization, analyze data, interactive exploratory analytics, and introductory predictive analytics."
Strategic Communications ,"Strategic Communications  A vital function of any professional is to be able to communicate accurately and effectively.  This course will focus on interdisciplinary activities including strategic communications planning, crisis avoidance and crisis communications planning, and an overview of Integrated Communications.  Students will learn how to approach one of the most difficult tasks facing corporate communicators today: how to pull together all the internal and external communications initiatives, from press releases to advertising, that impact various constituencies in terms of their awareness, attitudes and behavior.  Governance and disclosure principles are overviewed.  This is a highly practical course that begins with an evaluation of student-submitted writing samples and a benchmark oral presentation. Students will learn and practice proven techniques for writing e-mails, memoranda and policy documents. In addition, they will learn, practice and integrate the key components of making powerful and persuasive oral presentations.  Key topics for oral presentations include body energy (stance, posture, eye contact and gestures), vocal energy (voice volume, pace and voice inflection) and content (message text and use of visual aides such as graphs, charts and slides).   Key topics for written communications include developing your personal tone and style, planning and organizing your written message, identifying and clarifying the strategic message, creating sentences that are clear and readable, and reviewing and editing your writing. Upon successful completion of this course, students should be able to focus on the key strategic message; manage work and business relationships using the written word; write in clear language; and make the writing process faster and more comfortable.  In addition, students will be able to design, create and deliver oral presentations to a small group and manage the ensuing question and answer session."
Strategic Management of Technological Innovation ,"Strategic Management of Technological Innovation  This course is designed to enable the potential manager to deal with the demands of strategic planning in a technology-driven organization.  It addresses such concerns as minimizing the R&D cycle, assuring smooth transition from design to production, innovation streams, and technology and business strategy.  To study this process, the course utilizes research and tools from the fields of economics, strategy, and organizational theory. While based in research, the course is oriented towards the practical management of technology. It is heavily case-oriented and involves student participation so that students can focus on real world decisions such as allocation of resources, managing of complex activities, and management of teams at various levels within the organization.  Topics include: strategic maneuvering, the technology-product relationship; technology cycles and discontinuities; managing discontinuous innovation; implementing new designs; linking strategy and innovation; and building organizations? capacity to innovate.  Upon completion of the course, students will understand the role technological innovation plays in the competitive dynamics of industries; understand the basic information needed to formulate technology strategies; identify and explain the various forms of collaboration and the tradeoffs associated with each of them; acquire the basic tools necessary to analyze a company's positioning and strategies; provide an understanding of the metrics used to evaluate new product effectiveness and innovation performance."
Strategic Marketing ,"Strategic Marketing  This course provides a thorough understanding of the strategic marketing process, from analyzing customer needs, to developing a product/service, integrated communications, taking it to market, fulfillment, and successfully managing customer relationships, including the integration of all channels, from sales to public relations to customer service in order to maximize customer lifetime value.  Topics include: the marketing mix and the holistic marketing concept, marketing research and forecasting, environmental analysis, market segmentation, customer relationship management, brand equity, managing marketing programs, such as sales force management, integrated marketing communications (ranging from image and public relations through mass and target marketing, and direct response), online marketing, and return on marketing investments. Through a combination of lectures, presentations, case studies, and multimedia dealing with real-world examples, students will be expected to explore and analyze marketing strategies that are integrated across the organization and its customer touch points, the communications mix across distribution channels, and the customer lifecycle.  Upon successful completion of this course, students will have learned how to optimize the core processes of the value chain, how to analyze the competitive environment, how to develop and execute an integrated marketing communications mix, and how to formulate and implement marketing strategies for acquiring and retaining 'valuable' customers."
